Subject,"Start Date","All Day Event",Description,Private
"День весни і праці",2022-05-01,1,"<a href='https://smeshinki.net/holiday/den-vesni-i-praci'  >Дивитись на сайті Smeshinki</a>",0
"Всесвітній день свободи преси",2022-05-03,1,"<a href='https://smeshinki.net/holiday/vsesvitniy-den-svobodi-presi'  >Дивитись на сайті Smeshinki</a>",0
"День боротьби з булінгом (День рожевої сорочки)",2022-05-04,1,"<a href='https://smeshinki.net/holiday/den-borotbi-z-bulingom-den-rozhevoji-sorochki'  >Дивитись на сайті Smeshinki</a>",0
"День Європи (створений Радою Європи)",2022-05-05,1,"<a href='https://smeshinki.net/holiday/den-yevropi-stvoreniy-radoyu-yevropi'  >Дивитись на сайті Smeshinki</a>",0
"Міжнародний день проти дієти",2022-05-06,1,"<a href='https://smeshinki.net/holiday/mizhnarodniy-den-proti-diyeti'  >Дивитись на сайті Smeshinki</a>",0
"День міста Івано-Франківськ",2022-05-07,1,"<a href='https://smeshinki.net/holiday/den-mista-ivano-frankivsk'  >Дивитись на сайті Smeshinki</a>",0
"День міста Львів",2022-05-07,1,"<a href='https://smeshinki.net/holiday/den-mista-lviv'  >Дивитись на сайті Smeshinki</a>",0
"День Перемоги над нацизмом у Другій світовій війні",2022-05-08,1,"<a href='https://smeshinki.net/holiday/den-peremogi-nad-nacizmom-u-drugiy-svitoviy-viyni'  >Дивитись на сайті Smeshinki</a>",0
"Всесвітній день справедливої торгівлі",2022-05-08,1,"<a href='https://smeshinki.net/holiday/vsesvitniy-den-spravedlivoji-torgivli'  >Дивитись на сайті Smeshinki</a>",0
"Міжнародний день Червоного Хреста і Червоного Півмісяця",2022-05-08,1,"<a href='https://smeshinki.net/holiday/mizhnarodniy-den-chervonogo-hresta-i-chervonogo-pivmisyacya'  >Дивитись на сайті Smeshinki</a>",0
"День матері",2022-05-08,1,"<a href='https://smeshinki.net/holiday/den-materi'  >Дивитись на сайті Smeshinki</a>",0
"День пам’яті та примирення",2022-05-08,1,"<a href='https://smeshinki.net/holiday/den-pam-yati-ta-primirennya'  >Дивитись на сайті Smeshinki</a>",0
"День Європи",2022-05-09,1,"<a href='https://smeshinki.net/holiday/den-yevropi'  >Дивитись на сайті Smeshinki</a>",0
"Всесвітній день руху для здоров’я",2022-05-10,1,"<a href='https://smeshinki.net/holiday/vsesvitniy-den-ruhu-dlya-zdorov-ya'  >Дивитись на сайті Smeshinki</a>",0
"День пам’яті українців, які рятували євреїв під час Другої світової",2022-05-14,1,"<a href='https://smeshinki.net/holiday/den-pam-yati-ukrajinciv-yaki-ryatuvali-yevrejiv-pid-chas-drugoji-svitovoji'  >Дивитись на сайті Smeshinki</a>",0
"День танцю маленьких каченят",2022-05-14,1,"<a href='https://smeshinki.net/holiday/den-tancyu-malenkih-kachenyat'  >Дивитись на сайті Smeshinki</a>",0
"День пам’яті жертв політичних репресій",2022-05-15,1,"<a href='https://smeshinki.net/holiday/den-pam-yati-zhertv-politichnih-represiy'  >Дивитись на сайті Smeshinki</a>",0
"Міжнародний день сім’ї",2022-05-15,1,"<a href='https://smeshinki.net/holiday/mizhnarodniy-den-sim-ji'  >Дивитись на сайті Smeshinki</a>",0
"Міжнародний день боротьби з гомофобією",2022-05-17,1,"<a href='https://smeshinki.net/holiday/mizhnarodniy-den-borotbi-z-gomofobiyeyu'  >Дивитись на сайті Smeshinki</a>",0
"Всесвітній день електрозв’язку та інформаційного суспільства",2022-05-17,1,"<a href='https://smeshinki.net/holiday/vsesvitniy-den-elektrozv-yazku-ta-informaciynogo-suspilstva'  >Дивитись на сайті Smeshinki</a>",0
"День народження Інтернету",2022-05-17,1,"<a href='https://smeshinki.net/holiday/den-narodzhennya-internetu'  >Дивитись на сайті Smeshinki</a>",0
"День боротьби за права кримськотатарського народу",2022-05-18,1,"<a href='https://smeshinki.net/holiday/den-borotbi-za-prava-krimskotatarskogo-narodu'  >Дивитись на сайті Smeshinki</a>",0
"День резервіста в Україні",2022-05-18,1,"<a href='https://smeshinki.net/holiday/den-rezervista-v-ukrajini'  >Дивитись на сайті Smeshinki</a>",0
"День пам’яті жертв геноциду кримськотатарського народу",2022-05-18,1,"<a href='https://smeshinki.net/holiday/den-pam-yati-zhertv-genocidu-krimskotatarskogo-narodu'  >Дивитись на сайті Smeshinki</a>",0
"День вишиванки",2022-05-19,1,"<a href='https://smeshinki.net/holiday/den-vishivanki'  >Дивитись на сайті Smeshinki</a>",0
"День зникаючих видів",2022-05-20,1,"<a href='https://smeshinki.net/holiday/den-znikayuchih-vidiv'  >Дивитись на сайті Smeshinki</a>",0
"Всесвітній день медитації",2022-05-21,1,"<a href='https://smeshinki.net/holiday/vsesvitniy-den-meditaciji'  >Дивитись на сайті Smeshinki</a>",0
"День сусіда в Києві",2022-05-21,1,"<a href='https://smeshinki.net/holiday/den-susida-v-kiyevi'  >Дивитись на сайті Smeshinki</a>",0
"Всесвітній день скандинавської ходьби",2022-05-21,1,"<a href='https://smeshinki.net/holiday/vsesvitniy-den-skandinavskoji-hodbi'  >Дивитись на сайті Smeshinki</a>",0
"День Європи в Україні",2022-05-21,1,"<a href='https://smeshinki.net/holiday/den-yevropi-v-ukrajini'  >Дивитись на сайті Smeshinki</a>",0
"Міжнародний день Космосу",2022-05-21,1,"<a href='https://smeshinki.net/holiday/mizhnarodniy-den-kosmosu'  >Дивитись на сайті Smeshinki</a>",0
"Всесвітній день міських фермерів",2022-05-22,1,"<a href='https://smeshinki.net/holiday/vsesvitniy-den-miskih-fermeriv'  >Дивитись на сайті Smeshinki</a>",0
"Всесвітній день бігу",2022-06-01,1,"<a href='https://smeshinki.net/holiday/vsesvitniy-den-bigu'  >Дивитись на сайті Smeshinki</a>",0
