Subject,"Start Date","All Day Event",Description,Private
"День коучера",2022-05-01,1,"<a href='https://smeshinki.net/holiday/den-kouchera'  >Дивитись на сайті Smeshinki</a>",0
"День директорів шкіл",2022-05-01,1,"<a href='https://smeshinki.net/holiday/den-direktoriv-shkil'  >Дивитись на сайті Smeshinki</a>",0
"День кондитера",2022-05-03,1,"<a href='https://smeshinki.net/holiday/den-konditera'  >Дивитись на сайті Smeshinki</a>",0
"Міжнародний день пожежників",2022-05-04,1,"<a href='https://smeshinki.net/holiday/mizhnarodniy-den-pozhezhnikiv'  >Дивитись на сайті Smeshinki</a>",0
"Міжнародний день акушерки",2022-05-05,1,"<a href='https://smeshinki.net/holiday/mizhnarodniy-den-akusherki'  >Дивитись на сайті Smeshinki</a>",0
"День піхоти ЗСУ",2022-05-06,1,"<a href='https://smeshinki.net/holiday/den-pihoti-zsu'  >Дивитись на сайті Smeshinki</a>",0
"Всесвітній день медичних сестер",2022-05-12,1,"<a href='https://smeshinki.net/holiday/vsesvitniy-den-medichnih-sester'  >Дивитись на сайті Smeshinki</a>",0
"День науки в Україні",2022-05-14,1,"<a href='https://smeshinki.net/holiday/den-nauki-v-ukrajini'  >Дивитись на сайті Smeshinki</a>",0
"День біографів",2022-05-16,1,"<a href='https://smeshinki.net/holiday/den-biografiv'  >Дивитись на сайті Smeshinki</a>",0
"Всесвітній день пульмонолога",2022-05-17,1,"<a href='https://smeshinki.net/holiday/vsesvitniy-den-pulmonologa'  >Дивитись на сайті Smeshinki</a>",0
"Всесвітній день сімейного лікаря",2022-05-19,1,"<a href='https://smeshinki.net/holiday/vsesvitniy-den-simeynogo-likarya'  >Дивитись на сайті Smeshinki</a>",0
"День перекладача жестової мови в Україні",2022-05-20,1,"<a href='https://smeshinki.net/holiday/den-perekladacha-zhestovoji-movi-v-ukrajini'  >Дивитись на сайті Smeshinki</a>",0
"День банківських працівників України",2022-05-20,1,"<a href='https://smeshinki.net/holiday/den-bankivskih-pracivnikiv-ukrajini'  >Дивитись на сайті Smeshinki</a>",0
"Всесвітній день травматолога",2022-05-20,1,"<a href='https://smeshinki.net/holiday/vsesvitniy-den-travmatologa'  >Дивитись на сайті Smeshinki</a>",0
