Subject,"Start Date","All Day Event",Description,Private
Антипасха,2022-05-01,1,"<a href='https://smeshinki.net/holiday/antipasha'  >Дивитись на сайті Smeshinki</a>",0
Радониця,2022-05-03,1,"<a href='https://smeshinki.net/holiday/radonicya'  >Дивитись на сайті Smeshinki</a>",0
"День Луки",2022-05-05,1,"<a href='https://smeshinki.net/holiday/den-luki'  >Дивитись на сайті Smeshinki</a>",0
"День пам’яті священномученика Василя, єпископа Амасійського",2022-05-10,1,"<a href='https://smeshinki.net/holiday/den-pam-yati-svyashchennomuchenika-vasilya-yepiskopa-amasiyskogo'  >Дивитись на сайті Smeshinki</a>",0
"День пам’яті святителя Кирила, єпископа Туровського",2022-05-11,1,"<a href='https://smeshinki.net/holiday/den-pam-yati-svyatitelya-kirila-yepiskopa-turovskogo'  >Дивитись на сайті Smeshinki</a>",0
"День пам’яті дев’яти мучеників",2022-05-12,1,"<a href='https://smeshinki.net/holiday/den-pam-yati-dev-yati-muchenikiv'  >Дивитись на сайті Smeshinki</a>",0
"День пам’яті Благовірної Тамари, цариці Грузинської",2022-05-14,1,"<a href='https://smeshinki.net/holiday/den-pam-yati-blagovirnoji-tamari-carici-gruzinskoji'  >Дивитись на сайті Smeshinki</a>",0
"День пам’яті Пророка Єремії",2022-05-14,1,"<a href='https://smeshinki.net/holiday/den-pam-yati-proroka-yeremiji'  >Дивитись на сайті Smeshinki</a>",0
"День пам’яті апостола і євангеліста Іоанна Богослова",2022-05-21,1,"<a href='https://smeshinki.net/holiday/den-pam-yati-apostola-i-yevangelista-ioanna-bogoslova'  >Дивитись на сайті Smeshinki</a>",0
"Святкування на честь перенесення мощей святителя і чудотворця Миколая",2022-05-22,1,"<a href='https://smeshinki.net/holiday/svyatkuvannya-na-chest-perenesennya-moshchey-svyatitelya-i-chudotvorcya-mikolaya'  >Дивитись на сайті Smeshinki</a>",0
"День рівноапостольних царя Костянтина і матері його цариці Олени",2022-06-03,1,"<a href='https://smeshinki.net/holiday/den-rivnoapostolnih-carya-kostyantina-i-materi-yogo-carici-oleni'  >Дивитись на сайті Smeshinki</a>",0
"Зелений тиждень",2022-06-09,1,"<a href='https://smeshinki.net/holiday/zeleniy-tizhden'  >Дивитись на сайті Smeshinki</a>",0
"Троїцька поминальна батьківська субота",2022-06-11,1,"<a href='https://smeshinki.net/holiday/trojicka-pominalna-batkivska-subota'  >Дивитись на сайті Smeshinki</a>",0
Трійця,2022-06-12,1,"<a href='https://smeshinki.net/holiday/triycya'  >Дивитись на сайті Smeshinki</a>",0
"Неділя всіх святих",2022-06-13,1,"<a href='https://smeshinki.net/holiday/nedilya-vsih-svyatih'  >Дивитись на сайті Smeshinki</a>",0
"День Святого Духа",2022-06-13,1,"<a href='https://smeshinki.net/holiday/den-svyatogo-duha'  >Дивитись на сайті Smeshinki</a>",0
"Свято Тіла і Крові Христових у західних християн",2022-06-16,1,"<a href='https://smeshinki.net/holiday/svyato-tila-i-krovi-hristovih-u-zahidnih-hristiyan'  >Дивитись на сайті Smeshinki</a>",0
"День пам’яті священномученика Тимофія Пруського",2022-06-24,1,"<a href='https://smeshinki.net/holiday/den-pam-yati-svyashchennomuchenika-timofiya-pruskogo'  >Дивитись на сайті Smeshinki</a>",0
"Католицьке різдво святого Івана Хрестителя (день народження Івана Хрестителя)",2022-06-24,1,"<a href='https://smeshinki.net/holiday/katolicke-rizdvo-svyatogo-ivana-hrestitelya-den-narodzhennya-ivana-hrestitelya'  >Дивитись на сайті Smeshinki</a>",0
"День святого Варнави",2022-06-24,1,"<a href='https://smeshinki.net/holiday/den-svyatogo-varnavi'  >Дивитись на сайті Smeshinki</a>",0
"День пам’яті святого пророка Амоса",2022-06-28,1,"<a href='https://smeshinki.net/holiday/den-pam-yati-svyatogo-proroka-amosa'  >Дивитись на сайті Smeshinki</a>",0
"День пам’яті преподобного Феодора Мовчазного",2022-03-02,1,"<a href='https://smeshinki.net/holiday/den-pam-yati-prepodobnogo-feodora-movchaznogo'  >Дивитись на сайті Smeshinki</a>",0
"День пам’яті святих Архипа та Филимона",2022-03-04,1,"<a href='https://smeshinki.net/holiday/den-pam-yati-svyatih-arhipa-ta-filimona'  >Дивитись на сайті Smeshinki</a>",0
"Всесвітній день молитви",2022-03-04,1,"<a href='https://smeshinki.net/holiday/vsesvitniy-den-molitvi'  >Дивитись на сайті Smeshinki</a>",0
"Прощена неділя",2022-03-06,1,"<a href='https://smeshinki.net/holiday/proshchena-nedilya'  >Дивитись на сайті Smeshinki</a>",0
"Початок Великого посту",2022-03-07,1,"<a href='https://smeshinki.net/holiday/pochatok-velikogo-postu'  >Дивитись на сайті Smeshinki</a>",0
"Маврикіїв день",2022-03-07,1,"<a href='https://smeshinki.net/holiday/mavrikijiv-den'  >Дивитись на сайті Smeshinki</a>",0
"Полікарпів день",2022-03-08,1,"<a href='https://smeshinki.net/holiday/polikarpiv-den'  >Дивитись на сайті Smeshinki</a>",0
"Іванів день",2022-03-09,1,"<a href='https://smeshinki.net/holiday/ivaniv-den'  >Дивитись на сайті Smeshinki</a>",0
"День Порфирія Пізнього",2022-03-11,1,"<a href='https://smeshinki.net/holiday/den-porfiriya-piznogo'  >Дивитись на сайті Smeshinki</a>",0
"День пам’яті преподобного Іоанна Касіяна Римлянина",2022-03-13,1,"<a href='https://smeshinki.net/holiday/den-pam-yati-prepodobnogo-ioanna-kasiyana-rimlyanina'  >Дивитись на сайті Smeshinki</a>",0
"Друга седмиця Великого посту",2022-03-14,1,"<a href='https://smeshinki.net/holiday/druga-sedmicya-velikogo-postu'  >Дивитись на сайті Smeshinki</a>",0
"День пам’яті преподобного Герасима",2022-03-17,1,"<a href='https://smeshinki.net/holiday/den-pam-yati-prepodobnogo-gerasima'  >Дивитись на сайті Smeshinki</a>",0
"Поминальна субота другої седмиці святої Чотиридесятниці",2022-03-19,1,"<a href='https://smeshinki.net/holiday/pominalna-subota-drugoji-sedmici-svyatoji-chotiridesyatnici'  >Дивитись на сайті Smeshinki</a>",0
"Третя седмиця Великого посту",2022-03-21,1,"<a href='https://smeshinki.net/holiday/tretya-sedmicya-velikogo-postu'  >Дивитись на сайті Smeshinki</a>",0
"День пам’яті сорока Севастійських мучеників",2022-03-22,1,"<a href='https://smeshinki.net/holiday/den-pam-yati-soroka-sevastiyskih-muchenikiv'  >Дивитись на сайті Smeshinki</a>",0
"Батьківська поминальна субота 3-ї седмиці Великого посту",2022-03-26,1,"<a href='https://smeshinki.net/holiday/batkivska-pominalna-subota-3-ji-sedmici-velikogo-postu'  >Дивитись на сайті Smeshinki</a>",0
"Четверта седмиця Великого посту",2022-03-28,1,"<a href='https://smeshinki.net/holiday/chetverta-sedmicya-velikogo-postu'  >Дивитись на сайті Smeshinki</a>",0
"Олександрів день",2022-03-28,1,"<a href='https://smeshinki.net/holiday/oleksandriv-den'  >Дивитись на сайті Smeshinki</a>",0
"Савин день",2022-03-29,1,"<a href='https://smeshinki.net/holiday/savin-den'  >Дивитись на сайті Smeshinki</a>",0
"Теплого Олекси",2022-03-30,1,"<a href='https://smeshinki.net/holiday/teplogo-oleksi'  >Дивитись на сайті Smeshinki</a>",0
"П’ята седмиця Великого посту",2022-04-04,1,"<a href='https://smeshinki.net/holiday/p-yata-sedmicya-velikogo-postu'  >Дивитись на сайті Smeshinki</a>",0
"День Василя Теплого",2022-04-04,1,"<a href='https://smeshinki.net/holiday/den-vasilya-teplogo'  >Дивитись на сайті Smeshinki</a>",0
